time,value
0.00459045,1
0.0045905,1
0.00459055,1
0.0045906,1
0.00459065,1
0.0045907,1
0.00459075,1
0.0045908,0
0.00459085,0
0.0045909,0
0.00459095,0
0.004591,0
0.00459105,0
0.0045911,0
0.00459115,0
0.0045912,1
0.00459125,1
0.0045913,1
0.00459135,1
0.0045914,1
0.00459145,1
0.0045915,1
0.00459155,1
0.0045916,0
0.00459165,0
0.0045917,0
0.00459175,0
0.0045918,0
0.00459185,0
0.0045919,0
0.00459195,0
0.004592,0
0.00459205,0
0.0045921,0
0.00459215,0
0.0045922,0
0.00459225,0
0.0045923,0
0.00459235,0
0.0045924,1
0.00459245,1
0.0045925,1
0.00459255,1
0.0045926,1
0.00459265,1
0.0045927,1
0.00459275,1
0.0045928,1
0.00459285,1
0.0045929,1
0.00459295,1
0.004593,1
0.00459305,1
0.0045931,1
0.00459315,1
0.0045932,1
0.00459325,1
0.0045933,1
0.00459335,1
0.0045934,1
0.00459345,1
0.0045935,1
0.00459355,1
0.0045936,0
0.00459365,0
0.0045937,0
0.00459375,0
0.0045938,0
0.00459385,0
0.0045939,0
0.00459395,0
0.004594,0
0.00459405,0
0.0045941,0
0.00459415,0
0.0045942,0
0.00459425,0
0.0045943,0
0.00459435,0
0.0045944,0
0.00459445,0
0.0045945,0
0.00459455,0
0.0045946,0
0.00459465,0
0.0045947,0
0.00459475,0
0.0045948,1
0.00459485,1
0.0045949,1
0.00459495,1
0.004595,1
0.00459505,1
0.0045951,1
0.00459515,1
0.0045952,0
0.00459525,0
0.0045953,0
0.00459535,0
0.0045954,0
0.00459545,0
0.0045955,0
0.00459555,0
0.0045956,1
0.00459565,1
0.0045957,1
0.00459575,1
0.0045958,1
0.00459585,1
0.0045959,1
0.00459595,1
0.004596,0
0.00459605,0
0.0045961,0
0.00459615,0
0.0045962,0
0.00459625,0
0.0045963,0
0.00459635,0
0.0045964,1
0.00459645,1
0.0045965,1
0.00459655,1
0.0045966,1
0.00459665,1
0.0045967,1
0.00459675,1
0.0045968,1
0.00459685,1
0.0045969,1
0.00459695,1
0.004597,1
0.00459705,1
0.0045971,1
0.00459715,1
0.0045972,0
0.00459725,0
0.0045973,0
0.00459735,0
0.0045974,0
0.00459745,0
0.0045975,0
0.00459755,0
0.0045976,0
0.00459765,0
0.0045977,0
0.00459775,0
0.0045978,0
0.00459785,0
0.0045979,0
0.00459795,0
0.004598,0
0.00459805,0
0.0045981,0
0.00459815,0
0.0045982,0
0.00459825,0
0.0045983,0
0.00459835,0
0.0045984,1
0.00459845,1
0.0045985,1
0.00459855,1
0.0045986,1
0.00459865,1
0.0045987,1
0.00459875,1
0.0045988,1
0.00459885,1
0.0045989,1
0.00459895,1
0.004599,1
0.00459905,1
