time,value
-0.02228207,0
-0.0222819,0
-0.02228173,1
-0.02228156,1
-0.02228139,0
-0.02228122,0
-0.02228105,0
-0.02228088,0
-0.02228071,0
-0.02228054,0
-0.02228037,0
-0.0222802,1
-0.02228003,1
-0.02227986,1
-0.02227969,1
-0.02227952,1
-0.02227935,0
-0.02227918,0
-0.02227901,0
-0.02227884,0
-0.02227867,0
-0.0222785,1
-0.02227833,1
-0.02227816,0
-0.02227799,0
-0.02227782,0
-0.02227765,1
-0.02227748,1
-0.02227731,0
-0.02227714,0
-0.02227697,1
-0.0222768,1
-0.02227663,1
-0.02227646,0
-0.02227629,0
-0.02227612,1
-0.02227595,1
-0.02227578,1
-0.02227561,1
-0.02227544,1
-0.02227527,0
-0.0222751,0
-0.02227493,1
-0.02227476,1
-0.02227459,0
-0.02227442,0
-0.02227425,0
-0.02227408,0
-0.02227391,0
-0.02227374,1
-0.02227357,1
-0.0222734,0
-0.02227323,0
-0.02227306,0
-0.02227289,0
-0.02227272,0
-0.02227255,1
-0.02227238,1
-0.02227221,1
-0.02227204,1
-0.02227187,1
-0.0222717,0
-0.02227153,0
-0.02227136,1
-0.02227119,1
-0.02227102,1
-0.02227085,0
-0.02227068,0
-0.02227051,0
-0.02227034,0
-0.02227017,1
-0.02227,1
-0.02226983,1
-0.02226966,0
-0.02226949,0
-0.02226932,0
-0.02226915,0
-0.02226898,1
-0.02226881,1
-0.02226864,1
-0.02226847,1
-0.0222683,1
-0.02226813,0
-0.02226796,0
-0.02226779,0
-0.02226762,0
-0.02226745,0
-0.02226728,1
-0.02226711,1
-0.02226694,1
-0.02226677,1
-0.0222666,0
-0.02226643,0
-0.02226626,0
-0.02226609,0
-0.02226592,0
-0.02226575,1
-0.02226558,1
-0.02226541,1
-0.02226524,0
-0.02226507,0
-0.0222649,1
-0.02226473,1
-0.02226456,1
-0.02226439,1
-0.02226422,1
-0.02226405,0
-0.02226388,0
-0.02226371,1
-0.02226354,1
-0.02226337,0
-0.0222632,0
-0.02226303,0
-0.02226286,0
-0.02226269,0
-0.02226252,1
-0.02226235,1
-0.02226218,0
-0.02226201,0
-0.02226184,0
-0.02226167,1
-0.0222615,1
-0.02226133,0
-0.02226116,0
-0.02226099,0
-0.02226082,0
-0.02226065,0
-0.02226048,1
-0.02226031,1
-0.02226014,1
-0.02225997,1
-0.0222598,1
-0.02225963,0
-0.02225946,0
-0.02225929,1
-0.02225912,1
-0.02225895,0
-0.02225878,0
-0.02225861,0
-0.02225844,0
-0.02225827,0
-0.0222581,0
-0.02225793,0
-0.02225776,1
-0.02225759,1
-0.02225742,1
-0.02225725,1
-0.02225708,1
-0.02225691,0
-0.02225674,0
-0.02225657,1
-0.0222564,1
-0.02225623,1
-0.02225606,0
-0.02225589,0
-0.02225572,0
-0.02225555,0
-0.02225538,1
-0.02225521,1
-0.02225504,1
-0.02225487,1
-0.0222547,1
-0.02225453,0
-0.02225436,0
-0.02225419,0
-0.02225402,0
-0.02225385,0
-0.02225368,1
-0.02225351,1
-0.02225334,1
-0.02225317,1
-0.022253,0
-0.02225283,0
-0.02225266,0
-0.02225249,0
-0.02225232,0
-0.02225215,1
-0.02225198,1
-0.02225181,1
-0.02225164,1
-0.02225147,1
-0.0222513,0
-0.02225113,0
-0.02225096,0
-0.02225079,0
-0.02225062,0
-0.02225045,1
-0.02225028,1
-0.02225011,0
-0.02224994,0
-0.02224977,0
-0.0222496,0
-0.02224943,0
-0.02224926,1
-0.02224909,1
-0.02224892,1
-0.02224875,1
-0.02224858,0
-0.02224841,0
